
Image Name                     PID Session Name        Session#    Mem Usage
RuntimeBroker.exe            15992 Console                    3     22.324 K
RuntimeBroker.exe             7928 Console                    3     30.692 K
svchost.exe                  16108 Console                    3      8.432 K
dllhost.exe                   3272 Console                    3     14.532 K
RtkAudUService64.exe          1608 Console                    3      9.588 K
ctfmon.exe                    6312 Console                    3     24.376 K
LockApp.exe                  23352 Console                    3     50.724 K
RuntimeBroker.exe            18332 Console                    3     36.072 K
svchost.exe                  21216 Console                    3     17.836 K
PhoneExperienceHost.exe       5920 Console                    3    157.024 K
TextInputHost.exe             3444 Console                    3    190.608 K
RuntimeBroker.exe            15532 Console                    3     13.684 K
SecurityHealthSystray.exe    12096 Console                    3     10.452 K
RtkAudUService64.exe         20020 Console                    3     13.484 K
OneDrive.exe                  9732 Console                    3    136.740 K
msedge.exe                   22512 Console                    3    114.500 K
msedge.exe                    1552 Console                    3      7.772 K
msedge.exe                    9568 Console                    3     49.816 K
msedge.exe                   10712 Console                    3     37.320 K
msedge.exe                   19624 Console                    3     18.036 K
msedge.exe                   13708 Console                    3     47.916 K
Cortana.exe                  12472 Console                    3     62.860 K
msedge.exe                   20612 Console                    3     29.468 K
msedge.exe                   21512 Console                    3    139.820 K
RuntimeBroker.exe             8572 Console                    3     27.556 K
msteams.exe                   8900 Console                    3    112.704 K
svchost.exe                  22356 Console                    3     23.328 K
RuntimeBroker.exe            15008 Console                    3     11.260 K
msedgewebview2.exe           22440 Console                    3    108.032 K
msedgewebview2.exe           21452 Console                    3      7.692 K
msedgewebview2.exe            4240 Console                    3     94.300 K
msedgewebview2.exe           16928 Console                    3     33.028 K
msedgewebview2.exe           13184 Console                    3     20.996 K
msedgewebview2.exe            7868 Console                    3    122.232 K
WSHelper.exe                  8804 Console                    3     23.892 K
vmware-tray.exe               7740 Console                    3     13.044 K
jusched.exe                  12900 Console                    3      8.640 K
msedgewebview2.exe           10148 Console                    3     21.916 K
ApplicationFrameHost.exe     18712 Console                    3     35.856 K
SystemSettings.exe           17592 Console                    3      1.812 K
UserOOBEBroker.exe           18572 Console                    3      9.616 K
svchost.exe                   1428 Console                    3     23.112 K
ShellExperienceHost.exe      17480 Console                    3     65.104 K
RuntimeBroker.exe            19484 Console                    3     24.600 K
SystemSettingsBroker.exe     15616 Console                    3     31.836 K
msedgewebview2.exe           13744 Console                    3      9.492 K
msedgewebview2.exe           12504 Console                    3      8.128 K
msedgewebview2.exe            4844 Console                    3      4.764 K
msedgewebview2.exe           13852 Console                    3      4.908 K
msedgewebview2.exe           19420 Console                    3      1.508 K
msedgewebview2.exe           15236 Console                    3      4.512 K
Video.UI.exe                 21628 Console                    3      1.868 K
RuntimeBroker.exe             9556 Console                    3     14.628 K
Garena.exe                   21072 Console                    3     37.452 K
FileCoAuth.exe               18152 Console                    3     20.260 K
svchost.exe                   2428 Services                   0      8.328 K
eclipse.exe                   1720 Console                    3      5.860 K
javaw.exe                    13584 Console                    3      7.796 K
javaw.exe                    22644 Console                    3  1.170.116 K
vmware.exe                    9232 Console                    3     88.740 K
vmware-unity-helper.exe      23184 Console                    3     21.312 K
vmware-vmx.exe                7124 Console                    3  4.315.276 K
mksSandbox.exe               14280 Console                    3    369.808 K
conhost.exe                  18000 Console                    3     10.928 K
smartscreen.exe              17488 Console                    3     10.048 K
SearchProtocolHost.exe       10892 Services                   0     15.988 K
SearchFilterHost.exe         12668 Services                   0      9.548 K
SearchFilterHost.exe          7652 Services                   0      9.104 K
javaw.exe                     6736 Console                    3     60.728 K
javaw.exe                    22792 Console                    3     99.124 K
WmiPrvSE.exe                  8148 Services                   0     11.140 K
Notepad.exe                  19056 Console                    3     83.344 K
tasklist.exe                 13328 Console                    3      9.396 K
conhost.exe                  19216 Console                    3     10.892 K
